Date,Expenditure,Trend Weight (lbs),Weight (lbs),Steps,Calories (kcal),Protein (g),Fat (g),Carbs (g),Target Calories (kcal),Target Protein (g),Target Fat (g),Target Carbs (g)
4/8/25,,,,10130,,,,,,,,
4/9/25,,,,9508,,,,,,,,
4/10/25,,,,5737,,,,,,,,
4/11/25,,,,4861,,,,,,,,
4/12/25,,,,6867,,,,,,,,
4/13/25,,,,6244,,,,,,,,
4/14/25,,,,5459,,,,,,,,
4/15/25,,,,4316,,,,,,,,
4/16/25,,,,4525,,,,,,,,
4/17/25,,,,7148,,,,,,,,
4/18/25,,,,12189,,,,,,,,
4/19/25,,,,16305,,,,,,,,
4/20/25,,,,1784,,,,,,,,
4/21/25,,,,7520,,,,,,,,
4/22/25,,,,2744,,,,,,,,
4/23/25,,,,5761,,,,,,,,
4/24/25,,,,6429,,,,,,,,
4/25/25,,,,9625,,,,,,,,
4/26/25,,,,17392,,,,,,,,
4/27/25,,,,11787,,,,,,,,
4/28/25,,,,4396,,,,,,,,
4/29/25,,,,4859,,,,,,,,
4/30/25,,,,6661,,,,,,,,
5/1/25,,,,4211,,,,,,,,
5/2/25,,,,7905,,,,,,,,
5/3/25,,,,7827,,,,,,,,
5/4/25,,,,4576,,,,,,,,
5/5/25,,,,3508,,,,,,,,
5/6/25,,,,9723,,,,,,,,
5/7/25,,,,8775,,,,,,,,
5/8/25,2550,175.64,175,4733,,,,,,,,
5/9/25,2550,175.63,,7745,,,,,,,,
5/10/25,2550,175.66,,4520,,,,,,,,
5/11/25,2550,175.75,,6338,,,,,,,,
5/12/25,2550,175.87,177,6843,1446.23,138.58,69.87,69.33,1485,150,78,44
5/13/25,2550,175.88,176,3363,1402.77,125.27,51.25,113.87,1485,150,78,44
5/14/25,2547,175.9,176,3787,1402.62,153.68,32.82,119.05,1485,150,78,44
5/15/25,2543,175.87,,1721,1427.84,149.29,36.82,119.56,1485,150,78,44
5/16/25,2535,175.82,,3353,1533.97,119.27,51.16,155.28,1485,150,78,44
5/17/25,2525,175.74,175,2295,1395.25,150.65,50.74,76,1485,150,78,44
5/18/25,2512,175.54,173.8,5417,1483.68,159.43,61.1,69.28,1485,150,78,44
5/19/25,2497,175.37,,3032,1448,150.82,56.8,83.61,1474,147,78,44
5/20/25,2482,175.22,,2516,1457.76,143.8,60.02,82,1474,147,78,44
5/21/25,2466,175.09,,3177,1278.81,122.29,40.17,106.17,1474,147,78,44
5/22/25,2448,174.98,,3182,941.17,80.67,24.68,20.69,1474,147,78,44
5/23/25,2429,174.88,174,2945,1555.57,151.49,53.87,109.34,1474,147,78,44
5/24/25,2409,174.77,,25402,1393.73,56.02,78.91,115.29,1474,147,78,44
5/25/25,2390,174.66,173.6,1825,1405.66,149.77,51.73,86.49,1474,147,78,44
5/26/25,2370,174.53,,3363,1400.25,145.83,51.79,94.91,1367,147,66,44
5/27/25,2350,174.4,,2189,1460.11,151.1,43.27,146.3,1367,147,66,44
5/28/25,2331,174.26,173,5803,1377.24,148.68,78.67,53.02,1367,147,66,44
5/29/25,2312,174.09,172.6,2994,1388.84,137.4,43.94,107.41,1367,147,66,44
5/30/25,2293,173.92,172.4,2769,1454.02,128.44,57.41,105.1,1367,147,66,44
5/31/25,2275,173.69,171.6,19319,1443.23,132.93,70.77,89.75,1367,147,66,44
6/1/25,2257,173.53,,19058,1477.34,131.8,65.19,85.82,1367,147,66,44
6/2/25,2240,173.44,172.6,8188,1414.37,148.36,51.19,98.59,1500,150,0,0
6/3/25,2222,173.29,172,8187,1336.05,136.2,70.5,50.68,1500,150,0,0
6/4/25,2205,173.09,,15443,1372.26,149.15,42.92,104.12,1500,150,0,0
6/5/25,2189,172.84,,12462,655.44,51.33,14.64,63.34,1500,150,0,0
6/6/25,2172,172.53,169.8,9219,1444.02,113.25,48.89,126.37,1500,150,0,0
6/7/25,2155,172.32,170.4,7415,1507.18,153.74,85.07,79.69,1500,150,0,0
6/8/25,2140,172.05,169.6,14288,810.5,69.07,40.84,87.81,1500,150,0,0
6/9/25,2125,171.76,169.2,9944,1402.23,163.5,56.6,63.3,1500,150,0,0
6/10/25,2121,171.33,167.4,8745,814.26,77.03,57.7,40.01,1500,150,0,0
6/11/25,2117,171.01,168.2,7400,1410.03,148.63,56.62,87.17,1500,150,0,0
6/12/25,2113,170.74,,14766,1475.13,156.74,69.19,122.12,1500,150,0,0
6/13/25,2109,170.51,168.4,7830,1545.79,123.57,51.24,126.97,1500,150,0,0
6/14/25,2107,170.3,168.4,19614,2309.42,94.98,121.11,214.12,1500,150,0,0
6/15/25,2105,170.25,169.8,21079,1426.42,121.05,61.51,105.76,1500,150,0,0
6/16/25,2103,170.1,168.8,13712,1497.64,181.63,62.42,97.69,1500,150,0,0
6/17/25,2100,170.03,169.4,9456,1461.33,149.54,50.48,106.71,1500,150,0,0
6/18/25,2097,169.91,168.8,10389,1480.06,151.33,42.62,126.53,1500,150,0,0
6/19/25,2092,169.84,169.2,10556,1318.89,149.5,70.51,89.06,1500,150,0,0
6/20/25,2086,169.82,,11647,1054.23,72.56,36.61,26,1500,150,0,0
6/21/25,2077,169.85,,17656,,,,,,,,
6/22/25,2070,169.92,,7225,1530.07,81,3.01,35.13,1500,150,0,0
6/23/25,2062,170.03,171,9343,1221.43,150.22,37,91.96,1262,145,56,44
6/24/25,2052,170,169.8,12333,1418.05,156,57.83,65.56,1262,145,56,44
6/25/25,2042,169.98,169.8,10455,1264.27,156.53,30.09,111.15,1262,145,56,44
6/26/25,2032,169.78,168,9757,1299.33,148.35,55.4,70.59,1262,145,56,44
6/27/25,2023,169.67,168.6,6865,1454.62,147.07,55.17,90.83,1262,145,56,44
6/28/25,2014,169.48,167.8,12466,1410.55,150.18,62.83,58.98,1262,145,56,44
6/29/25,2005,169.19,166.6,10268,1381.79,142.42,76.81,81.43,1262,145,56,44
6/30/25,1996,169.17,169,8634,1496.83,149.28,65.96,98.78,1250,141,55,46
7/1/25,1988,168.98,167.2,8895,1446.38,60.86,13.69,32.61,1250,141,55,46
7/2/25,1981,168.74,166.6,10048,1287.18,147.83,53.97,78.04,1250,141,55,46
7/3/25,1974,168.52,166.6,8384,1751.51,152.3,56.02,145.39,1250,141,55,46
7/4/25,1972,168.33,166.6,14691,650.58,85.3,34.15,70.48,1250,141,55,46
7/5/25,1970,168.22,,16344,355,16,6,28,1250,141,55,46
7/6/25,1969,168.18,167.8,11274,217.39,0.78,0.45,30.8,1250,141,55,46
7/7/25,1968,168.08,167.2,16295,1421.91,141.36,40.29,147.01,1250,141,55,45
7/8/25,1967,167.85,165.8,12211,1446.88,140.55,45.79,130.9,1250,141,55,45
7/9/25,1967,167.63,165.6,13276,1465.91,143.32,38.97,152.21,1250,141,55,45
7/10/25,1966,167.52,166.6,16193,1436.56,140.04,54.98,108.18,1250,141,55,45
7/11/25,1964,167.39,166.2,17752,1549.39,140.93,68.56,98.54,1250,141,55,45
7/12/25,1963,167.26,,39212,,,,,,,,
7/13/25,1962,167.14,166,11682,1279.68,48.01,0.39,31.28,1250,141,55,45
7/14/25,1960,167.06,166.4,15370,1396.54,143.56,47.51,103.86,1256,142,55,45
7/15/25,1957,167.02,166.6,15195,1355.01,139.04,43.57,131.32,1256,142,55,45
7/16/25,1953,167.01,167,12779,1465.19,142.12,71.07,107.87,1256,142,55,45
7/17/25,1948,166.95,166.4,9333,1402.56,143.89,48.1,103.96,1256,142,55,45
7/18/25,1944,166.8,165.4,12780,1458.92,136.82,37.07,148.99,1256,142,55,45
7/19/25,1940,166.68,165.6,19499,1559.1,145.85,28.84,73.46,1256,142,55,45
7/20/25,1936,166.49,164.8,15454,1077.5,78.82,13.97,45.5,1256,142,55,45
7/21/25,1930,166.46,166.2,17278,1358.3,144.86,46.39,99.74,1250,141,55,45
7/22/25,1924,166.39,165.8,13578,1349.23,149.13,25.8,98.12,1250,141,41,77
7/23/25,1917,166.34,165.8,10601,1239.72,151.08,45.41,87.08,1250,141,41,77
7/24/25,1910,166.22,165.2,4909,1346.87,151.88,51.64,99.63,1250,141,41,77
